epoch,train-rmse-E,train-rmse-F,train-loss,test-rmse-E,test-rmse-F,test-loss
79.0,0.01287291,0.1147924,0.03851547,0.01188163,0.106415,0.03568737
80.0,0.01281146,0.1138548,0.03821552,0.01144466,0.10555,0.0352854
81.0,0.01271171,0.1128485,0.03788228,0.01084783,0.1047138,0.034845
82.0,0.01268385,0.1119024,0.03759116,0.01054624,0.1038498,0.03449205
83.0,0.01248805,0.1110606,0.03727461,0.009796262,0.10327,0.03409451
84.0,0.01225298,0.1103554,0.03698602,0.009878883,0.102546,0.03389927
85.0,0.01218968,0.1098688,0.03681987,0.01025231,0.1020888,0.03387214
86.0,0.01210396,0.1094773,0.0366747,0.01003312,0.1018444,0.03373265
87.0,0.01197361,0.1090312,0.0364986,0.01029269,0.1016466,0.03375118
88.0,0.01189243,0.1083511,0.03626881,0.0104018,0.101406,0.03371224
89.0,0.0118527,0.1076657,0.03605103,0.01037745,0.1012429,0.03365567
90.0,0.01180792,0.1068027,0.0357786,0.01034314,0.1009445,0.03355533
91.0,0.0115449,0.105825,0.03540025,0.01007931,0.1003686,0.03330133
92.0,0.01209651,0.1046239,0.035227,0.01086348,0.09955858,0.03330475
93.0,0.01154383,0.1040957,0.03488339,0.01029281,0.09890167,0.03292561
94.0,0.01130647,0.1036869,0.03468334,0.009982962,0.09832385,0.03265605
95.0,0.01103778,0.1026914,0.03429846,0.009583157,0.09740572,0.03225871
96.0,0.01073835,0.1013625,0.03380456,0.00906772,0.09676944,0.03191639
97.0,0.01069183,0.1015918,0.03385859,0.008537977,0.09634045,0.0316393
98.0,0.01042482,0.1006032,0.03347802,0.008398185,0.09585766,0.03145471
99.0,0.01001428,0.09940364,0.03299082,0.008134733,0.09641853,0.03155673
100.0,0.009986675,0.09854108,0.03272259,0.00808439,0.09607034,0.03143737
101.0,0.01004725,0.0979187,0.03255387,0.008416737,0.09575595,0.03142868
102.0,0.01040879,0.09715009,0.03243697,0.008558227,0.09447818,0.03107822
103.0,0.01004922,0.09681836,0.03222369,0.008554351,0.09424645,0.03100671
104.0,0.009884734,0.09619803,0.03198615,0.008817625,0.09343874,0.03083554
105.0,0.009807018,0.09581778,0.0318478,0.008875486,0.09290611,0.03069086
106.0,0.009573392,0.09473414,0.03145005,0.0083954,0.09250072,0.03043224
107.0,0.01039366,0.09457776,0.03166265,0.009934915,0.09259922,0.0309219
108.0,0.009440692,0.09444109,0.03132154,0.008445856,0.09231891,0.03039096
109.0,0.009339803,0.09425537,0.03123523,0.008082952,0.0922177,0.03026127
110.0,0.009365208,0.09392709,0.03114381,0.007762799,0.09193146,0.03008987
111.0,0.009464777,0.09350759,0.03104753,0.007731079,0.09152967,0.02995893
112.0,0.009561489,0.09288072,0.03088859,0.007547772,0.09092119,0.029726
113.0,0.00984725,0.09233293,0.03081405,0.008399993,0.09032787,0.02977368
114.0,0.009497862,0.09223016,0.03067327,0.007961871,0.09019288,0.02961194
115.0,0.009423017,0.09196314,0.03056984,0.007992832,0.08980786,0.02950306
116.0,0.009458148,0.0916114,0.03047493,0.008186197,0.08932849,0.0294104
117.0,0.009526134,0.09103256,0.03032227,0.008472389,0.0885091,0.02924325
118.0,0.009518925,0.09010224,0.03004083,0.008578892,0.0871962,0.02887759
119.0,0.009492127,0.0931532,0.03094919,0.008657508,0.08955046,0.02961217
120.0,0.009213163,0.089813,0.02985833,0.008245486,0.08679902,0.02865999
